POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Pro Bowl
DE,77.1,261,4.89,18,30.8,111,4.47,7.31,0
LB,73.38,220,4.68,25,29.5,109,4.39,7.09,0
WR,74.8,210,4.4,22,39.5,124,4.05,6.86,1
LB,76.0,243,4.65,21,34.0,120,4.28,6.9,1
OG,76.13,307,5.14,21,30.0,95,4.44,7.52,1
DT,76.63,318,5.21,26,31.5,108,4.86,7.75,1
DE,77.38,305,4.78,22,33.0,113,4.45,7.31,0
K,70.0,165,4.79,20,32.3,115,4.46,7.31,0
DE,74.75,273,4.69,30,35.0,126,4.58,6.95,0
OG,76.88,316,5.32,34,29.5,98,4.56,7.3,1
C,74.5,303,5.06,28,27.5,110,4.87,7.72,0
LB,72.88,234,4.67,25,35.0,123,4.32,6.89,1
LB,74.13,231,4.59,17,37.5,113,4.53,7.04,1
LB,75.25,242,4.58,27,38.0,123,4.12,6.92,1
OT,79.88,345,5.85,14,19.5,82,5.38,7.87,0
TE,77.63,256,4.83,23,29.5,117,4.45,7.12,0
RB,69.0,209,4.46,19,33.0,112,4.08,6.9,0
K,76.6,251,4.95,17,30.7,111,4.44,7.31,0
CB,70.88,183,4.32,16,39.0,136,4.46,7.31,1
DT,78.1,321,5.13,21,30.0,110,4.72,8.07,1
RB,68.25,187,4.6,13,32.5,117,4.32,7.31,0
QB,72.3,197,4.82,17,37.0,118,4.1,7.31,0
S,72.4,219,4.53,13,30.5,111,4.33,7.31,1
S,72.8,202,4.47,22,38.5,123,4.15,7.08,1
S,69.9,204,4.6,14,36.0,116,4.01,6.93,1
K,73.0,237,4.79,20,32.6,115,4.46,7.31,0
RB,66.75,196,4.48,21,32.5,118,4.53,7.13,0
TE,78.0,254,4.91,20,31.0,115,4.29,7.31,1
WR,69.0,183,4.38,17,28.5,116,4.41,7.31,0
OG,74.8,325,5.21,19,25.5,103,5.11,7.31,1
OG,74.38,300,5.09,37,35.5,117,4.41,7.34,0
OT,78.9,334,4.89,19,31.8,111,4.39,7.31,1
WR,72.0,193,4.39,16,30.1,109,4.48,7.31,1
LB,74.5,240,4.81,21,35.0,111,4.54,6.93,0
K,74.8,231,4.9,19,30.7,111,4.47,7.31,1
OT,77.0,307,5.12,26,31.0,104,4.64,7.87,1
CB,71.8,177,4.62,5,34.0,121,4.53,7.31,0
LB,74.13,251,4.65,20,32.0,119,4.27,7.05,0
WR,71.6,210,4.33,20,45.0,134,4.0,7.31,1
LB,75.13,238,4.73,17,29.5,114,4.32,7.11,1
QB,73.1,212,5.06,17,29.5,110,4.58,7.31,0
RB,70.1,198,4.59,17,32.0,117,4.01,7.31,1
WR,74.88,211,4.45,22,38.0,112,4.02,6.83,1
WR,72.4,207,4.6,18,38.5,122,4.37,7.31,1
OT,76.5,293,5.12,23,29.0,106,4.5,7.31,0
LB,72.75,227,4.55,24,36.0,121,4.2,7.14,1
LB,74.5,242,4.8,16,33.5,117,4.22,7.0,1
CB,69.75,193,4.46,14,35.5,120,4.28,6.92,1
TE,75.13,234,4.42,19,36.0,125,4.23,6.92,1
DE,74.4,269,4.75,25,34.0,111,4.54,7.49,1
LB,75.75,237,4.71,21,36.5,125,4.28,6.91,0
OT,76.9,301,5.09,19,30.5,108,4.73,8.23,1
WR,71.5,174,4.47,15,33.5,116,4.16,7.31,0
C,75.0,293,5.17,20,32.6,114,4.44,7.31,0
TE,77.13,245,4.88,21,32.5,109,4.09,6.99,0
RB,69.3,207,4.44,13,39.5,130,4.37,7.31,1
WR,72.75,203,4.47,17,40.0,124,4.14,7.02,0
CB,69.4,185,4.68,14,34.5,118,4.46,7.22,1
LB,71.4,251,4.84,19,31.5,116,4.49,7.74,0
RB,72.1,235,4.69,17,28.0,112,4.49,7.7,0
DE,76.63,234,4.72,19,38.0,123,4.12,7.09,0
RB,71.0,248,4.86,18,31.6,113,4.38,7.31,1
OT,75.9,296,5.15,24,32.5,114,4.71,7.6,1
LB,75.8,231,4.74,16,34.5,113,4.25,7.31,0
OT,76.75,306,4.71,31,34.5,112,4.72,7.62,1
DE,73.38,265,4.98,23,29.5,108,4.43,7.31,0
OT,76.88,323,5.28,26,23.5,97,5.0,8.24,0
C,77.63,333,4.77,20,33.3,106,4.45,7.31,1
RB,70.63,196,4.27,18,36.0,126,4.43,7.31,1
CB,71.5,204,4.38,16,38.0,125,4.08,6.56,1
OT,76.25,302,4.97,22,32.0,113,4.44,7.37,1
C,75.63,312,5.58,21,28.5,97,4.76,7.81,1
CB,71.13,190,4.42,21,38.5,126,4.03,6.84,0
QB,73.6,208,4.96,21,32.4,100,4.34,7.46,1
CB,73.0,193,4.49,16,38.0,124,4.09,7.03,0
QB,76.5,218,5.02,17,29.5,110,4.29,7.31,1
DT,76.13,338,5.18,37,31.5,110,4.65,7.95,1
WR,70.75,188,4.59,20,34.0,118,4.46,7.14,0
CB,71.0,187,4.52,11,36.0,121,4.01,7.31,0
RB,70.8,196,4.88,17,31.9,112,4.35,7.31,0
RB,71.0,260,4.74,20,32.6,114,4.44,7.31,0
CB,69.9,186,4.51,21,34.5,116,4.09,7.1,1
C,75.63,314,4.74,20,33.5,116,4.46,7.31,1
TE,76.13,267,4.69,31,33.5,119,4.53,7.08,0
DT,75.75,297,5.03,27,23.5,101,4.7,7.6,0
RB,71.25,202,4.48,10,37.5,121,4.22,6.57,1
CB,69.3,188,4.43,18,33.5,119,4.3,7.31,1
OG,75.4,295,5.29,25,33.5,105,4.33,7.31,0
TE,75.9,248,4.89,23,33.0,107,4.2,7.17,0
WR,70.6,181,4.38,14,32.0,111,4.2,7.31,1
CB,69.5,189,4.38,19,39.0,127,4.0,6.69,1
TE,73.5,226,4.86,18,29.5,107,4.35,7.31,0
S,70.5,211,4.56,19,34.0,121,4.12,7.0,1
DE,76.0,281,4.82,21,35.0,117,4.65,7.25,1
DT,75.0,337,5.1,23,31.5,106,4.68,7.8,0
LB,73.38,244,4.76,22,33.5,111,4.3,7.11,1
RB,70.6,216,4.81,10,28.7,109,4.45,7.31,0
CB,72.5,190,4.38,15,36.0,123,3.94,6.61,1
TE,73.8,257,4.92,23,30.0,108,4.6,7.31,0
TE,75.9,252,4.97,20,29.0,111,4.32,8.16,0
WR,70.88,196,4.56,15,39.0,128,4.62,7.55,0
TE,73.3,225,4.72,19,33.5,110,4.18,7.31,1
CB,70.75,183,4.83,12,34.0,113,4.35,7.11,0
QB,73.5,214,5.03,17,26.0,105,4.48,7.31,0
OG,75.88,314,5.11,26,26.0,106,4.78,7.3,1
RB,74.0,228,4.43,22,39.5,127,4.12,6.84,0
CB,71.0,193,4.4,14,33.5,119,4.18,6.71,0
LB,72.5,261,4.68,32,34.0,117,4.14,7.62,1
WR,70.9,180,4.55,21,35.0,116,4.09,7.28,0
TE,76.5,255,4.93,20,27.5,108,4.46,7.31,0
LB,74.1,227,4.63,26,36.5,126,4.17,7.13,0
C,74.5,288,5.38,24,26.5,107,4.77,7.31,0
LB,75.0,246,4.53,35,41.0,130,4.15,6.91,1
C,74.6,297,5.31,27,28.5,101,4.46,8.24,1
